schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,game_id,,,,,
09/18/1966,1966,2,PIT,DET,Pitt Stadium,,,,62 degrees-  humidity 67%- wind 4 mph,62,4,67,17,3,FALSE,FALSE,19660918DETPIT,,,,,
09/18/1966,1966,2,ARI,WAS,Busch Memorial Stadium,,,,63 degrees-  humidity 72%- wind 5 mph,63,5,72,23,7,FALSE,FALSE,19660918WASARI,,,,,
09/25/1966,1966,3,IND,SF,Memorial Stadium (Baltimore),,,,56 degrees-  humidity 68%- wind 7 mph,56,7,68,36,14,FALSE,FALSE,19660925SFIND,,,,,
09/25/1966,1966,4,BUF,TEN,War Memorial Stadium,,,,,,,,27,20,FALSE,FALSE,19660925TENBUF,,,,,
09/25/1966,1966,3,CLE,ARI,Cleveland Municipal Stadium,,,,53 degrees-  humidity 72%- wind 9 mph,53,9,72,28,34,FALSE,FALSE,19660925ARICLE,,,,,
09/25/1966,1966,3,DAL,MIN,Cotton Bowl,,,,76 degrees-  humidity 60%- wind 12 mph,76,12,60,28,17,FALSE,FALSE,19660925MINDAL,,,,,
09/25/1966,1966,4,DEN,NYJ,Mile High Stadium,,,,,,,,7,16,FALSE,FALSE,19660925NYJDEN,,,,,
09/25/1966,1966,3,DET,ATL,Tiger Stadium,,,,56 degrees-  humidity 58%- wind 9 mph,56,9,58,28,10,FALSE,FALSE,19660925ATLDET,,,,,
09/25/1966,1966,3,GB,LAR,Lambeau Field,,,,46 degrees-  humidity 56%- wind 9 mph,46,9,56,24,13,FALSE,FALSE,19660925LARGB,,,,,
09/25/1966,1966,4,NE,KC,Alumni Stadium,,,,,,,,24,43,FALSE,FALSE,19660925KCNE,,,,,
09/25/1966,1966,4,OAK,LAC,Oakland Coliseum,,,,,,,,20,29,FALSE,FALSE,19660925LACOAK,,,,,
09/25/1966,1966,3,PHI,NYG,Franklin Field,,,,55 degrees-  humidity 74%- wind 11 mph,55,11,74,35,17,FALSE,FALSE,19660925NYGPHI,,,,,
