Note: individual training accuracies are incorrect, but
the averages are fine.
year,test: train acc, test acc
1983 test 30: 0.6280604383543377, 0.63204
1983 test 31: 0.6248610587709016, 0.63954943
1983 test 32: 0.6257846943605155, 0.6545682
1983 test 33: 0.6276058136801398, 0.640801
1983 test 34: 0.6314732836925416, 0.64705884
1983 test 35: 0.6349267623665859, 0.6508135
1983 test 36: 0.6355212532841742, 0.63704634
1983 test 37: 0.6392599028233295, 0.63954943
1983 test 38: 0.6308469552551402, 0.64580727
1983 test 39: 0.626450641978257, 0.6558198
1983 test 40: 0.6315028826532435, 0.63579476
1983 test 41: 0.6284178430039683, 0.640801
1983 test 42: 0.633580782186142, 0.62828535
1983 test 43: 0.6271076525429797, 0.6420526
1983 test 44: 0.6413745819048977, 0.63704634
1983 test 45: 0.6301205216980398, 0.6433041
1983 test 46: 0.6341230087215373, 0.6520651
1983 test 47: 0.631860716774295, 0.62828535
1983 test 48: 0.6408411801369565, 0.63579476
1983 test 49: 0.6336280120925999, 0.63579476
1983 averages 49: 0.6783470189571381, 0.6419274115562439
1985 test 0: 0.6330755428785227, 0.6307885
1985 test 1: 0.6258520798732029, 0.63579476
1985 test 2: 0.6316919078973492, 0.6445557
1985 test 3: 0.6326494810354426, 0.62828535
1985 test 4: 0.6259077174568057, 0.6508135
1985 test 5: 0.639248998889301, 0.63579476
1985 test 6: 0.6232604683844258, 0.65832293
1985 test 7: 0.6277640126505691, 0.6420526
1985 test 8: 0.6436241821890629, 0.60700876
1985 test 9: 0.6278973227560296, 0.6332916
1985 test 10: 0.6266375594738596, 0.64580727
1985 test 11: 0.6276457087930586, 0.63829786
1985 test 12: 0.6291800000622066, 0.63829786
1985 test 13: 0.6223298363266361, 0.6420526
1985 test 14: 0.6349137934654466, 0.64705884
1985 test 15: 0.6319596049875879, 0.6445557
1985 test 16: 0.6256420493256464, 0.63204
1985 test 17: 0.6293285556641105, 0.64831036
1985 test 18: 0.6249575399571053, 0.6533166
1985 test 19: 0.6237423470073632, 0.64956194
1985 test 20: 0.649967582623599, 0.6345432
1985 test 21: 0.626396625679224, 0.64956194
1985 test 22: 0.6324072641895172, 0.64705884
1985 test 23: 0.6298284564768716, 0.63579476
1985 test 24: 0.6486033174781611, 0.63204
1985 test 25: 0.6284174862619634, 0.6445557
1985 test 26: 0.623647776116455, 0.64956194
1985 test 27: 0.6239353097341163, 0.6508135
1985 test 28: 0.6391662897842847, 0.62703377
1985 test 29: 0.6275201836771079, 0.64580727
1985 test 30: 0.6310052460476812, 0.6445557
1985 test 31: 0.6328389347205696, 0.63829786
1985 test 32: 0.624554107103203, 0.640801
1985 test 33: 0.6264212415396272, 0.64956194
1985 test 34: 0.6383758509468674, 0.6420526
1985 test 35: 0.6257565499275214, 0.63829786
1985 test 36: 0.629236779859912, 0.6508135
1985 test 37: 0.6246785572933986, 0.6433041
1985 test 38: 0.6392110786185098, 0.6232791
1985 test 39: 0.6263235609078587, 0.64831036
1985 test 40: 0.6313341132252103, 0.6420526
1985 test 41: 0.6268249950715538, 0.6433041
1985 test 42: 0.6265670375966086, 0.63704634
1985 test 43: 0.6218711586018677, 0.64580727
1985 test 44: 0.6306305065336119, 0.6508135
1985 test 45: 0.620449977277665, 0.6520651
1985 test 46: 0.6253738357022274, 0.65832293
1985 test 47: 0.626270389060801, 0.6508135
1985 test 48: 0.6257240346100214, 0.64831036
1985 test 49: 0.6224762914382919, 0.6520651
1985 averages 49: 0.679241520166397, 0.6424530661106109
1987 test 0: 0.6285594132203185, 0.6558198
1987 test 1: 0.6280386799268042, 0.65957445
1987 test 2: 0.6289275769839, 0.64956194
1987 test 3: 0.6246038428245483, 0.6508135
1987 test 4: 0.6258913551099384, 0.6345432
1987 test 5: 0.6274091482106526, 0.64831036
1987 test 6: 0.6302460360577393, 0.640801
1987 test 7: 0.6366688222886624, 0.6558198
1987 test 8: 0.6279126369908397, 0.6445557
1987 test 9: 0.6308176226130638, 0.63829786
1987 test 10: 0.6268295783209189, 0.6433041
1987 test 11: 0.6261268522082193, 0.62828535
1987 test 12: 0.6227933196852145, 0.6558198
1987 test 13: 0.634580250964669, 0.63704634
1987 test 14: 0.6261278302437895, 0.64705884
1987 test 15: 0.6401762632310428, 0.63704634
1987 test 16: 0.6344208614399496, 0.6445557
1987 test 17: 0.6365164472477904, 0.6332916
1987 test 18: 0.627343363910727, 0.63704634
1987 test 19: 0.6253212514765868, 0.65707135
1987 test 20: 0.6290062876401914, 0.64831036
1987 test 21: 0.6294559645926923, 0.6445557
1987 test 22: 0.6242854856840511, 0.63954943
1987 test 23: 0.6337764348289248, 0.6445557
1987 test 24: 0.6330203283018665, 0.6307885
1987 test 25: 0.6281979926005099, 0.6508135
1987 test 26: 0.6218121651891101, 0.640801
1987 test 27: 0.6272619230362665, 0.6433041
1987 test 28: 0.6256189269523075, 0.6508135
1987 test 29: 0.6235752391567144, 0.64956194
1987 test 30: 0.6312271386398951, 0.63579476
1987 test 31: 0.6408548354403173, 0.6295369
1987 test 32: 0.6302948834069158, 0.64956194
1987 test 33: 0.6313193778510908, 0.6445557
1987 test 34: 0.6287353187006839, 0.63954943
1987 test 35: 0.623116036622933, 0.6520651
1987 test 36: 0.6316832936740713, 0.6445557
1987 test 37: 0.6284448173228133, 0.64831036
1987 test 38: 0.6359916432283921, 0.63204
1987 test 39: 0.66236214389155, 0.6020025
1987 test 40: 0.6311389399256478, 0.6433041
1987 test 41: 0.6316696325589778, 0.6445557
1987 test 42: 0.6320964928077667, 0.64705884
1987 test 43: 0.6284010549109704, 0.64831036
1987 test 44: 0.6360808764030698, 0.63829786
1987 test 45: 0.632622578774622, 0.6332916
1987 test 46: 0.653702307222073, 0.63204
1987 test 47: 0.6262356172198049, 0.6445557
1987 test 48: 0.620752451053176, 0.6433041
1987 test 49: 0.6272157759071142, 0.6420526
1987 averages 49: 0.6774682796001434, 0.6427284073829651
1989 test 0: 0.6241901045355093, 0.6420526
1989 test 1: 0.6246391693584723, 0.64831036
1989 test 2: 0.6353266501615059, 0.6420526
1989 test 3: 0.6296882603191614, 0.640801
1989 test 4: 0.6242824205114635, 0.6508135
1989 test 5: 0.6248871122949636, 0.660826
1989 test 6: 0.6309821956764174, 0.6433041
1989 test 7: 0.6309246765974168, 0.6307885
1989 test 8: 0.6301033911674059, 0.63954943
1989 test 9: 0.6310500161715309, 0.640801
1989 test 10: 0.6301226599773716, 0.6508135
1989 test 11: 0.6305093779292736, 0.640801
1989 test 12: 0.6304886654644123, 0.6420526
1989 test 13: 0.631514086832149, 0.64956194
1989 test 14: 0.6282699376307381, 0.64705884
1989 test 15: 0.6292976659346134, 0.64580727
1989 test 16: 0.6248395262572807, 0.6508135
1989 test 17: 0.6253386415396637, 0.6332916
1989 test 18: 0.630139542769207, 0.64580727
1989 test 19: 0.6406875669219542, 0.640801
1989 test 20: 0.6210702291418226, 0.6445557
1989 test 21: 0.6304021932893388, 0.63579476
1989 test 22: 0.625266889327011, 0.64705884
1989 test 23: 0.6265661451214918, 0.6445557
1989 test 24: 0.6352921013576963, 0.62828535
1989 test 25: 0.6410749859208048, 0.63704634
1989 test 26: 0.6275977722330669, 0.6433041
1989 test 27: 0.6235790978860721, 0.6445557
1989 test 28: 0.6239122323113703, 0.64831036
1989 test 29: 0.6398778260989728, 0.63704634
1989 test 30: 0.6250195060955718, 0.6520651
1989 test 31: 0.6402769776128783, 0.62703377
1989 test 32: 0.6368421275863361, 0.64580727
1989 test 33: 0.6288918633624744, 0.64831036
